STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080727 17:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080727 18:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080731 19:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080731 21:00,0.4, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080731 22:00,0.3, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080801 00:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080801 01:00,0,g, 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080801 10:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080801 12:00,999.99,[, 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080809 08:00,999.99,], 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080810 13:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080812 06:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080812 07:00,0.2, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080812 09:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080812 12:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080812 20:00,0.2, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080813 11:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080816 04:00,0.1, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080816 05:00,0.5, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080816 06:00,0.4, , 
COOP:221314,CALHOUN CITY MS US,77.7,33.85861,-89.31583,20080816 11:00,0.1, , 
